//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   		ColorG   		ColorB   		ColorSize   		ColorMain   		ColorSide
//Estrella
  6346        32113		    25             0             255  			255 			255      		3.5     			0.4         		0.3
  6346        32113		    26             0             255  			255 			255      		3.5     			0.4         		0.3
  6346        32113		    27             0             255  			255 			255      		3.5     			0.4         		0.3
  6346        32113		    33             0             255  			255 			255      		3.5     			0.4         		0.3
  6346        32113		    36             0             255  			255 			255      		3.5     			0.4         		0.3
  6346        32113		    42             0             255  			255 			255      		3.5     			0.4         		0.3
  6346        32113		    45             0             255  			255 			255      		3.5     			0.4         		0.3
  6346        32113		    61            0             255  			255 			255      		3.5     			0.4         		0.3
  6346        32113		    62            0             255  			255 			255      		3.5     			0.4         		0.3
  6346        32113		    63            0             255  			255 			255      		3.5     			0.4         		0.3
  6346        32113		    69            0             255  			255 			255      		3.5     			0.4         		0.3
  6346        32113		    72            0             255  			255 			255      		3.5     			0.4         		0.3
//Plumas
  6346        32355		    18            0             255  			255 			255      		1.95     			0.0         		0.4
  6346        32355		    54            0             255  			255 			255      		1.95     			0.0         		0.4
//Fuego
  6346        32077		    79            0             0.00	        0.50	        6.00     		9.0         		0.5         		0.8
  6346        32077		    81            0             0.00	        0.50	        6.00     		9.0         		0.5         		0.8
  6346        32077		    83            0             0.00	        0.50	        6.00     		9.0         		0.5         		0.8
end
