//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
6344          32002         12            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         13            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         14            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         15            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         16            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         17            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         18            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         19            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         20            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         21            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         22            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         23            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         24            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         25            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         26            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         27            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         28            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         29            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         30            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         31            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         32            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         33            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         35            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         36            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         37            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         38            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         39            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         40            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         41            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         42            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         43            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         44            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         45            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         46            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         47            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         48            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         49            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         50            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         51            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         52            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         53            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         54            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         55            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         56            0             0.80     0.40     0.30     0.9         0.0         0.0
6344          32002         57            0             0.80     0.40     0.30     0.9         0.0         0.0
