//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB  	  EffectType     EffectSize   ColorSide
  3172        32387         74            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         77            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         80            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         83            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         85            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         87            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         90            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         93            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         95            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         98            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         101           0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         105           0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         109           0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         111           0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         113           0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         116           0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  3172        32387         118           0             0.19     0.61     0.91   	  0.0            -1.0         0.0
end
