//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB  	  EffectType     EffectSize   ColorSide
  2660        32387         34            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  2660        32387         35            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  2660        32387         36            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  2660        32387         37            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  2660        32387         38            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  2660        32387         39            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  2660        32387         40            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  2660        32387         41            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  2660        32387         42            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
end
