//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB  	  EffectType     EffectSize   ColorSide
  6351        32387         22            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         23            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         28            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         34            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         35            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         47            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         49            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         50            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         72            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         73            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         78            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         89            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         90            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         97            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         99            0             1.0      0.0      0.0   	  0.0            -1.0         0.0
  6351        32387         100           0             1.0      0.0      0.0   	  0.0            -1.0         0.0

  6351        32113         22            0             1.0      0.0      0.0   	  3.5     		 0.4          0.3
  6351        32113         28            0             1.0      0.0      0.0   	  3.5     		 0.4          0.3
  6351        32113         35            0             1.0      0.0      0.0   	  3.5     		 0.4          0.3
  6351        32113         47            0             1.0      0.0      0.0   	  3.5     		 0.4          0.3
  6351        32113         50            0             1.0      0.0      0.0   	  3.5     		 0.4          0.3

  6351        32113         72            0             1.0      0.0      0.0   	  3.5     		 0.4          0.3
  6351        32113         78            0             1.0      0.0      0.0   	  3.5     		 0.4          0.3
  6351        32113         90            0             1.0      0.0      0.0   	  3.5     		 0.4          0.3
  6351        32113         97            0             1.0      0.0      0.0   	  3.5     		 0.4          0.3
  6351        32113         100           0             1.0      0.0      0.0   	  3.5     		 0.4          0.3
end
