//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
  6345        32002          02           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          03           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          04           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          05           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          06           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          07           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          08           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          09           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          10           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          11           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          12           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          13           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          14           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          15           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          16           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          17           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          18           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          19           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          20           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          21           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          22           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          23           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          24           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          25           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          26           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          27           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          28           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          29           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          30           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          31           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          32           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          33           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          34           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          35           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          36           0             1.0      1.0      1.0       1.8         0.5         0.5
  6345        32002          37           0             1.0      1.0      1.0       1.8         0.5         0.5
end
