//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
INDEX 32002  3 0 0.53 0.36 1.00 1.0 0.0 0.0
INDEX 32002 13 0 0.53 0.36 1.00 1.0 0.0 0.0
INDEX 32002 15 0 0.53 0.36 1.00 1.0 0.0 0.0
INDEX 32002 25 0 0.53 0.36 1.00 1.0 0.0 0.0
INDEX 32002 27 0 0.53 0.36 1.00 1.0 0.0 0.0
INDEX 32002 39 0 0.56 0.45 1.00 2.0 0.0 0.0
INDEX 32002 43 0 0.56 0.45 1.00 2.0 0.0 0.0
INDEX 32002 44 0 0.56 0.45 1.00 2.0 0.0 0.0
INDEX 32002 45 0 0.56 0.45 1.00 2.0 0.0 0.0
INDEX 32002 46 0 0.56 0.45 1.00 2.0 0.0 0.0
INDEX 32002 40 0 1.00 0.79 0.60 2.0 0.0 0.0
INDEX 32002 41 0 1.00 0.79 0.60 1.5 0.0 0.0
INDEX 32002 42 0 1.00 0.79 0.60 0.8 0.0 0.0
INDEX 32002 59 0 1.00 0.79 0.60 2.0 0.0 0.0
INDEX 32002 61 0 1.00 0.79 0.60 0.8 0.0 0.0
INDEX 32002 58 0 0.56 0.45 1.00 2.0 0.0 0.0
INDEX 32002 62 0 0.56 0.45 1.00 2.0 0.0 0.0
INDEX 32002 63 0 0.56 0.45 1.00 2.0 0.0 0.0
INDEX 32002 64 0 0.56 0.45 1.00 2.0 0.0 0.0
INDEX 32002 65 0 0.56 0.45 1.00 2.0 0.0 0.0
end
